Statistical profiling result from isolate-000002085CFFA3A0-v8.log, (19061 ticks, 297 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ~jsonParser C:\Users\ben\Documents\GitHub\busyapi\node_modules\body-parser\lib\types\json.js:91:30
      1    0.0%    0.0%  Function: ~isUint8Array internal/util/types.js:28:22
      1    0.0%    0.0%  Function: ~internalNextTick internal/process/next_tick.js:275:28
      1    0.0%    0.0%  Function: ~initTriggerId async_hooks.js:346:23
      1    0.0%    0.0%  Function: ~inherits util.js:962:18
      1    0.0%    0.0%  Function: ~hrtime internal/process.js:77:35
      1    0.0%    0.0%  Function: ~hasbody C:\Users\ben\Documents\GitHub\busyapi\node_modules\type-is\index.js:92:18
      1    0.0%    0.0%  Function: ~getip C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:457:15
      1    0.0%    0.0%  Function: ~getResponseTimeToken C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:228:60
      1    0.0%    0.0%  Function: ~getResponseTime C:\Users\ben\Documents\GitHub\busyapi\node_modules\morgan\index.js:330:45
      1    0.0%    0.0%  Function: ~exports.enroll timers.js:396:26
      1    0.0%    0.0%  Function: ~exports._unrefActive timers.js:148:32
      1    0.0%    0.0%  Function: ~etag C:\Users\ben\Documents\GitHub\busyapi\node_modules\etag\index.js:71:14
      1    0.0%    0.0%  Function: ~emitReadable _stream_readable.js:498:22
